Scan,Quality,Angle,Distance
0,15,112.78125,1467.5
0,15,114.21875,1430.0
0,15,115.609375,1425.75
0,15,121.0,1570.5
0,15,122.40625,1615.0
0,15,133.203125,2112.75
0,15,134.609375,2122.5
0,15,135.984375,2099.5
0,15,137.40625,2079.0
0,15,138.765625,2058.25
0,15,140.171875,2033.5
0,15,141.578125,2012.75
0,15,142.96875,1995.75
0,15,144.359375,1984.0
0,15,145.75,1972.5
0,15,147.109375,1960.5
0,15,148.53125,1952.75
0,15,149.90625,1945.5
0,15,151.296875,1938.75
0,15,152.703125,1933.25
0,15,154.0625,1927.5
0,15,155.46875,1920.25
0,15,156.828125,1914.25
0,15,158.203125,1906.5
0,15,159.578125,1904.25
0,15,161.0,1907.5
0,15,162.34375,1910.25
0,11,168.921875,3757.75
0,15,201.28125,1707.25
0,15,202.640625,1661.25
0,15,204.109375,1618.25
0,15,205.546875,1577.25
0,15,206.984375,1540.25
0,15,208.359375,1505.75
0,15,209.734375,1473.5
0,15,211.171875,1442.75
0,15,212.59375,1413.0
0,15,213.96875,1385.5
0,15,215.390625,1362.25
0,15,216.84375,1341.5
0,15,218.171875,1317.75
0,15,225.25,1236.5
0,15,228.859375,728.5
0,15,230.34375,717.5
0,15,231.71875,709.25
0,15,233.15625,701.75
0,15,234.5625,694.5
0,15,235.796875,690.0
0,15,237.359375,686.0
0,15,238.765625,681.5
0,15,239.984375,677.75
0,15,241.40625,672.5
0,15,242.953125,668.25
0,15,244.328125,664.25
0,15,245.59375,660.5
0,15,247.09375,658.5
0,15,248.5,656.25
0,15,249.96875,654.5
0,15,251.1875,654.0
0,15,252.6875,653.75
0,15,254.046875,654.25
0,15,255.4375,654.5
0,15,256.734375,654.75
0,15,258.140625,656.25
0,15,259.5625,658.0
0,15,260.890625,660.5
0,15,262.25,663.0
0,15,263.71875,666.25
0,15,265.1875,670.25
0,15,266.375,675.5
0,15,267.84375,681.25
0,15,269.3125,685.75
0,15,270.59375,690.75
0,15,271.953125,696.25
0,15,273.28125,702.75
0,15,274.671875,711.0
0,15,276.0625,720.25
0,15,277.3125,729.5
0,15,278.828125,737.0
0,15,280.015625,746.5
0,15,281.484375,757.75
0,15,282.828125,768.5
0,15,284.234375,781.25
0,15,285.46875,795.5
0,15,286.875,808.5
0,15,288.234375,823.25
0,15,289.515625,842.5
0,15,294.34375,1553.25
0,15,295.71875,1585.5
0,15,297.0625,1625.5
0,15,298.4375,1667.5
0,15,299.828125,1712.0
0,15,301.234375,1764.5
0,15,316.3125,2419.75
0,15,317.6875,2382.75
0,15,319.078125,2356.5
0,15,320.515625,2338.25
0,15,321.90625,2313.0
0,15,325.953125,2889.25
0,11,338.28125,4488.75
0,15,339.671875,4448.5
0,15,341.0625,4423.75
0,11,342.4375,4452.75
0,9,343.828125,4488.75
0,7,345.21875,4498.75
1,15,112.390625,1481.25
1,15,113.796875,1441.0
1,15,115.171875,1425.5
1,15,126.078125,1760.75
1,15,132.921875,2105.5
1,15,134.328125,2130.5
1,15,135.6875,2110.5
1,15,137.109375,2086.0
1,15,138.484375,2067.75
1,15,139.890625,2048.25
1,15,141.28125,2019.0
1,15,142.703125,1998.5
1,15,144.09375,1988.25
1,15,145.453125,1975.5
1,15,146.875,1964.0
1,15,148.25,1955.75
1,15,149.65625,1946.25
1,15,151.015625,1940.75
1,15,152.40625,1935.25
1,15,153.828125,1926.75
1,15,155.15625,1918.75
1,15,156.515625,1913.5
1,15,157.9375,1910.25
1,15,159.28125,1910.0
1,15,160.703125,1906.5
1,15,162.078125,1904.75
1,15,163.4375,1909.5
1,15,168.625,3770.5
1,15,202.3125,1671.5
1,15,203.78125,1624.0
1,15,205.21875,1582.5
1,15,206.625,1546.75
1,15,208.015625,1512.25
1,15,209.4375,1478.75
1,15,210.90625,1448.5
1,15,212.234375,1418.0
1,15,213.65625,1389.0
1,15,215.0625,1368.5
1,15,216.515625,1349.25
1,15,217.859375,1325.5
1,15,219.28125,1311.75
1,15,220.6875,1294.75
1,15,228.59375,731.5
1,15,230.0,720.5
1,15,231.34375,711.0
1,15,232.828125,703.0
1,15,234.125,696.25
1,15,235.59375,691.0
1,15,237.046875,686.5
1,15,238.421875,682.5
1,15,239.6875,678.5
1,15,241.234375,673.25
1,15,242.484375,668.5
1,15,243.875,664.75
1,15,245.4375,660.75
1,15,246.875,658.0
1,15,248.09375,656.75
1,15,249.578125,655.25
1,15,250.859375,654.5
1,15,252.390625,654.25
1,15,253.75,654.0
1,15,255.15625,653.75
1,15,256.59375,654.25
1,15,257.96875,655.25
1,15,259.234375,657.0
1,15,260.703125,659.25
1,15,261.953125,662.25
1,15,263.484375,666.0
1,15,264.8125,669.75
1,15,266.171875,674.0
1,15,267.515625,679.25
1,15,268.96875,685.0
1,15,270.375,689.75
1,15,271.71875,694.25
1,15,272.953125,700.75
1,15,274.4375,708.5
1,15,275.640625,718.0
1,15,276.96875,726.75
1,15,278.453125,734.75
1,15,279.765625,744.5
1,15,281.171875,754.5
1,15,282.546875,765.5
1,15,283.765625,778.5
1,15,285.109375,792.75
1,15,286.53125,806.5
1,15,287.828125,821.0
1,15,289.1875,837.25
1,15,290.546875,858.75
1,15,296.703125,1615.5
1,15,298.078125,1656.25
1,15,299.515625,1699.5
1,15,303.609375,1867.0
1,15,314.59375,2422.0
1,15,316.015625,2423.75
1,15,317.390625,2394.0
1,15,318.828125,2364.5
1,15,320.1875,2344.0
1,15,321.59375,2320.75
1,10,336.609375,4484.5
1,13,337.984375,4467.25
1,15,339.390625,4440.75
1,15,340.796875,4435.25
1,15,342.171875,4448.5
1,11,343.546875,4466.25
2,15,112.53125,1476.75
2,15,113.9375,1438.5
2,15,115.25,1427.25
2,15,133.015625,2106.0
2,15,134.375,2128.5
2,15,135.796875,2105.25
2,15,137.21875,2082.25
2,15,138.578125,2066.5
2,15,139.96875,2043.5
2,15,141.375,2015.5
2,15,142.78125,1998.0
2,15,144.171875,1985.0
2,15,145.578125,1975.25
2,15,146.953125,1963.0
2,15,148.34375,1952.0
2,15,149.734375,1946.75
2,15,151.109375,1940.75
2,15,152.484375,1935.0
2,15,153.890625,1928.5
2,15,155.3125,1921.5
2,15,156.703125,1911.75
2,15,158.078125,1911.0
2,15,159.453125,1910.75
2,15,160.828125,1904.25
2,15,162.265625,1904.25
2,15,168.796875,3760.5
2,15,198.25,1836.25
2,15,202.453125,1667.75
2,15,203.890625,1623.25
2,15,205.359375,1580.0
2,15,206.71875,1544.25
2,15,208.140625,1511.0
2,15,209.515625,1476.75
2,15,210.984375,1446.75
2,15,212.359375,1417.25
2,15,213.734375,1389.5
2,15,215.125,1368.5
2,15,216.609375,1348.25
2,15,218.0,1323.5
2,15,228.5625,730.5
2,15,230.015625,720.0
2,15,231.5,711.0
2,15,232.9375,702.5
2,15,234.328125,696.0
2,15,235.625,690.75
2,15,237.125,686.0
2,15,238.484375,682.0
2,15,239.953125,677.75
2,15,241.375,672.75
2,15,242.734375,668.5
2,15,244.140625,664.5
2,15,245.5,660.5
2,15,246.90625,658.0
2,15,248.375,656.5
2,15,249.640625,655.25
2,15,251.078125,654.5
2,15,252.390625,654.25
2,15,253.9375,653.75
2,15,255.125,654.0
2,15,256.53125,654.5
2,15,258.03125,655.5
2,15,259.328125,657.75
2,15,260.703125,659.75
2,15,262.140625,662.0
2,15,263.484375,665.75
2,15,264.859375,669.5
2,15,266.21875,674.25
2,15,267.53125,680.0
2,15,268.921875,685.75
2,15,270.265625,689.75
2,15,271.75,694.25
